exercise_id;language_code;name;description;instructions
ex-bench-press;nl-NL;Bankdrukken;Bankdrukken is een krachtige oefening voor het bovenlichaam. Je traint er vooral je borstspieren, schouders (deltoids) en armen (triceps) mee. Het is een van de meest effectieve oefeningen om spiermassa en kracht op te bouwen.;"Voorbereiding: Ga plat op je rug op het bankje liggen. Je voeten staan stevig op de grond. Pak de stang iets breder dan schouderbreedte vast met je handpalmen van je af.
Uitvoering: Til de stang uit het rek en houd deze recht boven je borst met gestrekte armen.
Laten zakken: Adem in en laat de stang gecontroleerd zakken tot deze je borst licht raakt.
Omhoog duwen: Adem uit en duw de stang krachtig terug naar de beginpositie. Zorg ervoor dat je je ellebogen niet volledig 'op slot' zet.
Herhalen: Herhaal de beweging voor het gewenste aantal herhalingen. Leg de stang daarna veilig terug in het rek."
ex-bench-press;en-GB;Bench Press;The bench press is a powerful upper-body exercise. It primarily trains your chest muscles (pectorals), shoulders (deltoids), and arms (triceps). It is one of the most effective exercises for building muscle mass and strength.;"Preparation: Lie flat on your back on the bench. Your feet should be planted firmly on the floor. Grasp the bar slightly wider than shoulder-width apart with an overhand grip.
Execution: Lift the bar from the rack and hold it straight above your chest with your arms extended.
Lowering: Inhale and slowly lower the bar until it lightly touches your chest.
Pushing up: Exhale and forcefully push the bar back up to the starting position. Avoid locking out your elbows completely.
Repeat: Repeat the movement for the desired number of repetitions. Safely return the bar to the rack afterwards."
ex-bench-press;en-US;Bench Press;The bench press is a powerful upper-body exercise. It primarily trains your chest muscles (pectorals), shoulders (deltoids), and arms (triceps). It is one of the most effective exercises for building muscle mass and strength.;"Preparation: Lie flat on your back on the bench. Your feet should be planted firmly on the floor. Grip the bar slightly wider than shoulder-width apart with your palms facing away from you.
Execution: Unrack the bar and hold it straight over your chest with your arms extended.
Lowering: Inhale and controllably lower the bar until it lightly touches your chest.
Pushing up: Exhale and powerfully press the bar back to the starting position. Make sure not to fully lock your elbows.
Repeat: Repeat the movement for the desired number of reps. Then, safely rerack the bar."
ex-bench-press;fr-FR;Développé couché;"Le développé couché (bench press) est un exercice puissant pour le haut du corps. Il cible principalement les muscles de la poitrine (pectoraux), les épaules (deltoïdes) et les bras (triceps). C'est l'un des exercices les plus efficaces pour développer la masse musculaire et la force.

";"Préparation : Allongez-vous sur le dos sur le banc. Vos pieds doivent être fermement posés au sol. Saisissez la barre avec une prise légèrement plus large que les épaules, paumes vers l'avant.
Exécution : Soulevez la barre du support et tenez-la droite au-dessus de votre poitrine, les bras tendus.
Descente : Inspirez et abaissez la barre de manière contrôlée jusqu'à ce qu'elle touche légèrement votre poitrine.
Poussée : Expirez et poussez la barre avec force pour revenir à la position de départ. Veillez à ne pas verrouiller complètement vos coudes.
Répétition : Répétez le mouvement pour le nombre de répétitions souhaité. Reposez ensuite la barre en toute sécurité sur le support."
ex-bench-press;de-DE;Bankdrücken;Bankdrücken ist eine kraftvolle Übung für den Oberkörper. Sie trainiert hauptsächlich deine Brustmuskeln (Pectoralis), Schultern (Deltoideus) und Arme (Trizeps). Es ist eine der effektivsten Übungen zum Aufbau von Muskelmasse und Kraft.;"Vorbereitung: Lege dich flach auf den Rücken auf die Bank. Deine Füße stehen fest auf dem Boden. Greife die Stange etwas breiter als schulterbreit mit den Handflächen nach vorne.
Ausführung: Hebe die Stange aus der Halterung und halte sie mit gestreckten Armen direkt über deiner Brust.
Absenken: Atme ein und senke die Stange kontrolliert ab, bis sie leicht deine Brust berührt.
Hochdrücken: Atme aus und drücke die Stange kraftvoll zurück in die Ausgangsposition. Achte darauf, deine Ellenbogen nicht vollständig durchzustrecken.
Wiederholen: Wiederhole die Bewegung für die gewünschte Anzahl an Wiederholungen. Lege die Stange danach sicher in der Halterung ab."
ex-bench-press;es-ES;Press de banca;El press de banca es un potente ejercicio para el tren superior. Trabaja principalmente los músculos del pecho (pectorales), los hombros (deltoides) y los brazos (tríceps). Es uno de los ejercicios más efectivos para ganar masa muscular y fuerza.;"Preparación: Túmbate boca arriba en el banco. Tus pies deben estar firmemente apoyados en el suelo. Agarra la barra con las palmas hacia adelante y una separación ligeramente mayor que la de tus hombros.
Ejecución: Saca la barra del soporte y sujétala recta sobre tu pecho con los brazos extendidos.
Descenso: Inhala y baja la barra de forma controlada hasta que toque ligeramente tu pecho.
Empuje: Exhala y empuja la barra con fuerza de vuelta a la posición inicial. Asegúrate de no bloquear completamente los codos.
Repetición: Repite el movimiento el número de veces deseado. Después, vuelve a colocar la barra en el soporte de forma segura."
ex-bench-press;it-IT;Panca piana;La panca piana (bench press) è un potente esercizio per la parte superiore del corpo. Allena principalmente i muscoli del petto (pettorali), le spalle (deltoidi) e le braccia (tricipiti). È uno degli esercizi più efficaci per costruire massa muscolare e forza.;"Preparazione: Sdraiati supino sulla panca. I piedi devono essere ben saldi a terra. Afferra il bilanciere con una presa leggermente più ampia delle spalle e con i palmi rivolti in avanti.
Esecuzione: Solleva il bilanciere dal supporto e tienilo dritto sopra il petto con le braccia tese.
Discesa: Inspira e abbassa lentamente il bilanciere fino a sfiorare il petto.
Spinta: Espira e spingi con forza il bilanciere per tornare alla posizione di partenza. Assicurati di non bloccare completamente i gomiti.
Ripetizione: Ripeti il movimento per il numero di ripetizioni desiderato. Successivamente, riponi il bilanciere sul supporto in sicurezza."
ex-bench-press;pl-PL;Wyciskanie na ławce;Wyciskanie sztangi na ławce poziomej (bench press) to potężne ćwiczenie na górne partie ciała. Trenuje głównie mięśnie klatki piersiowej, barków (mięśnie naramienne) i ramion (tricepsy). Jest to jedno z najskuteczniejszych ćwiczeń na budowanie masy mięśniowej i siły.;"Przygotowanie: Połóż się płasko na plecach na ławce. Stopy powinny być mocno oparte o podłogę. Złap sztangę nachwytem, nieco szerzej niż szerokość barków.
Wykonanie: Zdejmij sztangę ze stojaków i trzymaj ją prosto nad klatką piersiową z wyprostowanymi ramionami.
Opuszczanie: Zrób wdech i kontrolowanym ruchem opuść sztangę, aż lekko dotknie klatki piersiowej.
Wyciskanie: Zrób wydech i energicznie wypchnij sztangę z powrotem do pozycji wyjściowej. Unikaj całkowitego blokowania łokci.
Powtórzenia: Powtórz ruch dla żądanej liczby powtórzeń. Następnie bezpiecznie odłóż sztangę na stojaki."
ex-incline-bench-press;nl-NL;Incline Bankdrukken;Incline bankdrukken is een variant van de standaard bankdruk, waarbij de focus meer op de bovenkant van je borstspieren en de voorkant van je schouders ligt.;"Voorbereiding: Stel het bankje in op een schuine hoek. Ga zitten en zet je voeten stevig op de grond. Pak de stang iets breder dan schouderbreedte vast.
Uitvoering: Til de stang uit het rek en houd deze recht boven het bovenste deel van je borst met gestrekte armen.
Laten zakken: Adem in en laat de stang gecontroleerd zakken tot deze het bovenste deel van je borst licht raakt.
Omhoog duwen: Adem uit en duw de stang krachtig schuin omhoog terug naar de beginpositie.
Herhalen: Herhaal de beweging voor het gewenste aantal herhalingen en leg de stang daarna veilig terug."
ex-incline-bench-press;en-GB;Incline Bench Press;The incline bench press is a variation of the standard bench press, which places more emphasis on the upper part of your chest muscles and the front of your shoulders. The bench is set at an incline (usually 30-45 degrees).;"Preparation: Set the bench to an incline angle. Sit down and plant your feet firmly on the floor. Grasp the bar slightly wider than shoulder-width apart.
Execution: Lift the bar from the rack and hold it straight above your upper chest with your arms extended.
Lowering: Inhale and slowly lower the bar until it lightly touches your upper chest.
Pushing up: Exhale and forcefully push the bar diagonally upwards back to the starting position.
Repeat: Repeat the movement for the desired number of repetitions and then safely return the bar to the rack."
